Title,Languages,Score
The Magic School Bus Rides Again In the Zone,English,5.7
Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,Japanese,8.3
Gintama: The Movie,Japanese,8.3
Asphalt Burning,"Swedish, Norwegian, German, English",5.1
Summer of Rockets,English,7
Rogue,English,6.2
Bridgerton,English,7.3
We Can Be Heroes,English,8.1
Grandmas Last Wishes,English,6.7
Passionate People,"Spanish, English",5.1
Seven Souls in the Skull Castle,"Japanese, English",7.2
Documentary of Nogizaka 46,Japanese,7.3
The Husbands,English,7.8
Astro Boy,English,6.3
Isa Pa with Feelings,"Tagalog, Filipino, Sign Languages",7.7
AK vs AK,Hindi,7
Rezo,"Russian, Georgian",7.5
Joanna Lumleys Trans-Siberian Adventure,English,8.1
Malacopa,Spanish,2.9
Joanna Lumleys Silk Road Adventure,English,8.1
Joanna Lumleys Japan,English,8.1
Japan with Sue Perkins,"English, Japanese",6.8
What Love Means,Indonesian,5.6
Rhys Nicholson Live at the Athenaeum,English,7.6
My Hero Academia: Heroes Rising,Japanese,7.9
The Midnight Sky,English,5.6
Your Name Engraved Herein,"Mandarin, English, Min Nan",7.3
"Hello, Love, Goodbye","Chinese, Tagalog, Filipino",7.3
Cemaras Family,Indonesian,7.9
Bridezilla,Indonesian,5.8
Before Love,,5.5
The Con Is On,"English, Spanish, Japanese, Russian, Chinese",4
House of Hummingbird,Korean,7.4
Hotel by the River,Korean,6.7
Big Brother,English,5.4
The Time We Were Not In Love,Korean,7.3
The Guns of Navarone,"English, Greek, German, Latin",7.5
Pinkfong & Hogi Dance Dance,Korean,7.1
The Fierce Wife,Mandarin,6.6
Emergency Interrogation Room,Japanese,6.9
Vivarium,English,5.8
The Nutcracker,English,5.9
Babyteeth,English,7.2
Harvie And The Magic Museum,"Czech, German",3.8
Kkondae Intern,Korean,7.4
Rhyme Time Town Singalongs,English,8.3
Lovestruck in the City,Korean,7.4
"ariana grande: excuse me, i love you",English,6.4
The Golden Holiday,"Korean, Filipino, English",5.1
Mystic,English,7.4
Kasumi Arimuras Filming Break,Japanese,6.3
Sweet Home,"English, Spanish",5.2
Paava Kadhaigal,Tamil,8.1
Guest House,,4.4
The Invisible Man,English,7.1
The Troupe,"English, Persian",8.7
Diamond City,English,5.8
Mukhsin,"Malay, English, Mandarin",7.2
Talentime,"Malay, Tamil, English, Cantonese, Sign Languages",6.8
The Guys,English,6.3
Farewell Amor,English,6.9
Schulz Saves America,English,7.5
An Unremarkable Christmas,Spanish,3.6
Tornado,German,5
Rundfunk: Jachterwachter,Dutch,5.8
Run On,English,5.5
Love You to the Stars and Back,"Filipino, Tagalog",7.6
Sakaling Maging Tayo,"Filipino, Tagalog",7.1
Eggnoid: Love & Time Portal,Indonesian,6.3
Public Disturbance,,3
Nemesis,English,5.4
The Stand-In,English,5.9
The Ripper,English,5.8
How To Ruin Christmas,"Zulu, English, Southern Sotho, Tswana",6
Spiral,French,8.5
Women vs. Men,English,5.4
The House Elf,Russian,5.3
Double Trouble,"Italian, English, Portuguese",7.2
The Final,English,5.4
Teen Mom 2,English,4.3
The Challenge,English,5.3
Black Ink Crew New York,English,4.7
Grizzlies,"Inuktitut, English",7.5
The Sound of Your Heart,Korean,8.3
A Road To Wellbeing,"English, Spanish",5.9
Fat Pizza,English,5.8
BoyTown,English,5.4
OHA Diyorum,Turkish,1.9
Debt Fees,Turkish,1.4
Hindenburg,English,6.8
Ranczo,Polish,6.9
Silent Night,English,5.2
The House Where the Mermaid Sleeps,Japanese,6.5
Bwakaw,"Filipino, Tagalog, English",6.9
Pound for Pound,Danish,6.6
Anti,Danish,4.6
Georgetown,English,5.8
Tiny Pretty Things,English,5.8
Safari,French,4.5
A California Christmas,English,5.7
Black Water: Abyss,English,4.5
My Giraffe,Dutch,6.6
No Such Thing as Housewives,Dutch,6.6
Hartenstrijd,Dutch,5.6
A-Teen,Korean,8
Silam,Indonesian,5.5
Crackerjack,English,6.8
